File_Name;Year;Month;Day;Start_Time;Duration;End_Time
CAM10_20180902060000_388584608.avi;2018;09;02;06:00:00;00:22:55;06:22:55
CAM10_20180902062256_388737114.avi;2018;09;02;06:22:56;00:51:39;07:14:35
CAM10_20180902071435_389027214.avi;2018;09;02;07:14:35;00:42:17;07:56:52
CAM10_20180902075652_389288578.avi;2018;09;02;07:56:52;00:40:23;08:37:15
CAM10_20180902083715_389542656.avi;2018;09;02;08:37:15;00:39:27;09:16:42
CAM10_20180902091642_389834207.avi;2018;09;02;09:16:42;00:39:02;09:55:44
CAM10_20180902095544_390084729.avi;2018;09;02;09:55:44;00:38:35;10:34:19
CAM10_20180902103419_390325641.avi;2018;09;02;10:34:19;00:38:57;11:13:16
CAM10_20180902111316_390570719.avi;2018;09;02;11:13:16;00:38:48;11:52:04
CAM10_20180902115204_390840148.avi;2018;09;02;11:52:04;00:07:56;12:00:00
