09112018,187,AUTONORTE,sentido unico,Sur,,14:00:00,0,528,22,78,132,102,36,1,7,
09112018,187,AUTONORTE,sentido unico,Sur,,14:15:00,1,593,31,79,103,94,34,5,7,
09112018,187,AUTONORTE,sentido unico,Sur,,14:30:00,5,455,26,93,146,104,41,3,1,
09112018,187,AUTONORTE,sentido unico,Sur,,14:45:00,0,508,25,78,115,89,51,8,10,
09112018,187,AUTONORTE,sentido unico,Sur,,14:59:59,1,442,21,64,170,81,42,3,7,
09112018,187,AUTONORTE,sentido unico,Sur,,15:14:59,7,411,23,58,189,81,37,3,10,
09112018,187,AUTONORTE,sentido unico,Sur,,15:29:59,4,359,32,90,208,101,27,0,11,
09112018,187,AUTONORTE,sentido unico,Sur,,15:44:59,2,339,30,75,226,107,28,6,8,
09112018,187,AUTONORTE,sentido unico,Sur,,15:59:58,1,305,43,50,167,113,21,2,8,
09112018,187,AUTONORTE,sentido unico,Sur,,16:14:58,3,397,44,117,158,84,29,2,6,
09112018,187,AUTONORTE,sentido unico,Sur,,16:29:57,1,246,17,60,182,99,41,1,14,
09112018,187,AUTONORTE,sentido unico,Sur,,16:44:57,6,213,14,21,179,98,21,3,8,
09112018,187,AUTONORTE,sentido unico,Sur,,16:59:56,3,384,30,158,186,94,26,6,5,
09112018,187,AUTONORTE,sentido unico,Sur,,17:14:56,5,424,50,206,149,76,20,20,2,
09112018,187,AUTONORTE,sentido unico,Sur,,17:29:55,1,181,34,36,99,63,8,5,1,
09112018,187,AUTONORTE,sentido unico,Sur,,17:44:56,0,0,0,0,1,1,0,0,0,
