FECHA;Calle;Carrera;Movimiento;Acceso;Salida;Periodo;Peaton;Particular;Taxi;Motociclista;Bus;Camion;Minivan;Ciclista;Tractomula
31082018;100;19;Ciclistas cicloruta;Norte;Sur;06:00:00;4.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;06:15:01;5.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;06:30:00;6.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;06:44:59;2.0;0.0;0.0;1.0;0.0;0.0;0.0;84.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;06:59:58;5.0;0.0;0.0;2.0;0.0;0.0;0.0;82.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;07:14:59;15.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;07:29:58;10.0;0.0;0.0;0.0;0.0;0.0;0.0;97.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;07:44:57;6.0;0.0;0.0;3.0;0.0;0.0;0.0;146.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;07:59:56;5.0;0.0;0.0;0.0;0.0;0.0;0.0;122.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;08:14:57;4.0;0.0;0.0;0.0;0.0;0.0;0.0;68.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;08:29:56;15.0;0.0;0.0;0.0;0.0;0.0;0.0;89.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;08:44:55;9.0;0.0;0.0;1.0;0.0;0.0;0.0;81.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;08:59:54;8.0;0.0;0.0;0.0;0.0;0.0;0.0;61.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;09:14:56;4.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;09:29:55;1.0;0.0;0.0;0.0;0.0;0.0;0.0;48.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;09:44:55;9.0;0.0;0.0;1.0;0.0;0.0;0.0;46.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;09:59:54;2.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;10:14:53;3.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;10:29:54;2.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;10:44:53;4.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;10:59:52;5.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;11:14:51;5.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;11:29:52;3.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;11:44:51;7.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;
31082018;100;19;Ciclistas cicloruta;Norte;Sur;11:59:50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;06:00:00;2.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;06:15:01;3.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;06:30:00;2.0;0.0;0.0;1.0;0.0;0.0;0.0;30.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;06:44:59;7.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;06:59:58;2.0;0.0;0.0;1.0;0.0;0.0;0.0;33.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;07:14:59;8.0;0.0;0.0;5.0;0.0;0.0;0.0;40.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;07:29:58;9.0;0.0;0.0;1.0;0.0;0.0;0.0;34.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;07:44:57;5.0;0.0;0.0;2.0;0.0;0.0;0.0;46.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;07:59:56;4.0;0.0;0.0;3.0;0.0;0.0;0.0;37.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;08:14:57;1.0;0.0;0.0;2.0;0.0;0.0;0.0;31.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;08:29:56;3.0;0.0;0.0;1.0;0.0;0.0;0.0;23.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;08:44:55;1.0;0.0;0.0;0.0;1.0;0.0;0.0;28.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;08:59:54;5.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;09:14:56;0.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;09:29:55;1.0;0.0;0.0;3.0;0.0;0.0;0.0;17.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;09:44:55;1.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;09:59:54;1.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;10:14:53;1.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;10:29:54;2.0;0.0;0.0;2.0;0.0;0.0;0.0;24.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;10:44:53;3.0;0.0;0.0;2.0;0.0;0.0;0.0;15.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;10:59:52;1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;11:14:51;3.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;11:29:52;1.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;11:44:51;1.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;
31082018;100;19;Ciclistas cicloruta;Sur;Norte;11:59:50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
