File_Name;Year;Month;Day;Start_Time;Duration;End_Time
CAM15_20191009060000_673352718.avi;2019;10;09;06:00:00;00:04:35;06:04:35
CAM15_20191009060434_673364765.avi;2019;10;09;06:04:34;00:32:39;06:37:13
CAM15_20191009063713_673446125.avi;2019;10;09;06:37:13;00:32:39;07:09:52
CAM15_20191009070952_673527390.avi;2019;10;09;07:09:52;00:32:38;07:42:30
CAM15_20191009074230_673614046.avi;2019;10;09;07:42:30;00:32:38;08:15:08
CAM15_20191009081509_673696515.avi;2019;10;09;08:15:09;00:32:39;08:47:48
CAM15_20191009084748_673778437.avi;2019;10;09;08:47:48;00:32:38;09:20:26
CAM15_20191009092026_673859640.avi;2019;10;09;09:20:26;00:32:39;09:53:05
CAM15_20191009095305_673941750.avi;2019;10;09;09:53:05;00:32:39;10:25:44
CAM15_20191009102544_674023953.avi;2019;10;09;10:25:44;00:32:39;10:58:23
CAM15_20191009105823_674105109.avi;2019;10;09;10:58:23;00:32:38;11:31:01
CAM15_20191009113102_674187359.avi;2019;10;09;11:31:02;00:32:38;12:03:40
CAM15_20191009120340_674268656.avi;2019;10;09;12:03:40;00:32:39;12:36:19
CAM15_20191009123619_674350187.avi;2019;10;09;12:36:19;00:32:38;13:08:57
CAM15_20191009130858_674431859.avi;2019;10;09;13:08:58;00:32:38;13:41:36
CAM15_20191009134136_674513781.avi;2019;10;09;13:41:36;00:32:39;14:14:15
CAM15_20191009141415_674595593.avi;2019;10;09;14:14:15;00:32:38;14:46:53
CAM15_20191009144653_674677250.avi;2019;10;09;14:46:53;00:32:39;15:19:32
CAM15_20191009151932_674758765.avi;2019;10;09;15:19:32;00:32:39;15:52:11
CAM15_20191009155211_674840171.avi;2019;10;09;15:52:11;00:32:38;16:24:49
CAM15_20191009162449_674921921.avi;2019;10;09;16:24:49;00:32:39;16:57:28
CAM15_20191009165728_675002109.avi;2019;10;09;16:57:28;00:32:39;17:30:07
CAM15_20191009173007_675083843.avi;2019;10;09;17:30:07;00:29:53;18:00:00
