File_Name,Year,Month,Day,Start_Time,Duration,End_Time,
CAM15_20190417060000_98362608.avi,2019,4,17,06:00:00,00:06:46,06:06:46,00:00:00
CAM15_20190417060646_98495677.avi,2019,4,17,06:06:46,00:32:12,06:38:58,00:00:27
CAM15_20190417063925_99122770.avi,2019,4,17,06:39:25,00:32:38,07:12:03,00:00:01
CAM15_20190417071204_99847971.avi,2019,4,17,07:12:04,00:19:37,07:31:41,00:13:01
CAM15_20190417074442_100605918.avi,2019,4,17,07:44:42,00:32:39,08:17:21,00:00:00
CAM15_20190417081721_101366267.avi,2019,4,17,08:17:21,00:32:44,08:50:05,00:00:00
CAM15_20190417085005_102093793.avi,2019,4,17,08:50:05,00:32:38,09:22:43,00:00:00
CAM15_20190417092243_102835952.avi,2019,4,17,09:22:43,00:16:00,09:38:43,00:16:39
CAM15_20190417095522_103524821.avi,2019,4,17,09:55:22,00:32:39,10:28:01,00:00:00
CAM15_20190417102801_104296683.avi,2019,4,17,10:28:01,00:32:38,11:00:39,00:00:00
CAM15_20190417110039_105075191.avi,2019,4,17,11:00:39,00:32:39,11:33:18,00:00:00
CAM15_20190417113318_105828020.avi,2019,4,17,11:33:18,00:32:39,12:05:57,00:00:00
CAM15_20190417120557_106614874.avi,2019,4,17,12:05:57,00:32:38,12:38:35,00:00:00
CAM15_20190417123835_107353944.avi,2019,4,17,12:38:35,00:32:39,13:11:14,00:00:00
CAM15_20190417131114_108032579.avi,2019,4,17,13:11:14,00:32:39,13:43:53,00:00:00
CAM15_20190417134353_108501050.avi,2019,4,17,13:43:53,00:23:47,14:07:40,00:08:51
CAM15_20190417141631_109051063.avi,2019,4,17,14:16:31,00:32:38,14:49:09,00:00:00
CAM15_20190417144909_109595163.avi,2019,4,17,14:49:09,00:32:39,15:21:48,00:00:00
CAM15_20190417152148_110151276.avi,2019,4,17,15:21:48,00:01:08,15:22:56,00:31:31
CAM15_20190417155427_110714127.avi,2019,4,17,15:54:27,00:12:48,16:07:15,00:19:50
CAM15_20190417162705_111203768.avi,2019,4,17,16:27:05,00:01:22,16:28:27,00:31:17
CAM15_20190417165944_111694001.avi,2019,4,17,16:59:44,00:12:58,17:12:42,00:19:41
CAM15_20190417173223_112059698.avi,2019,4,17,17:32:23,00:05:54,17:38:17,
