File_Name,Year,Month,Day,Start_Time,Duration,End_Time,Faltante
CAM16_20190417060000_140241154.avi,2019,4,17,06:00:00,00:11:33,06:11:33,00:12:53
CAM16_20190417062426_140537244.avi,2019,4,17,06:24:26,00:32:24,06:56:50,00:00:20
CAM16_20190417065710_141433111.avi,2019,4,17,06:57:10,00:32:44,07:29:54,00:00:00
CAM16_20190417072954_142196018.avi,2019,4,17,07:29:54,00:27:28,07:57:22,00:05:18
CAM16_20190417080240_142938802.avi,2019,4,17,08:02:40,00:25:12,08:27:52,00:07:31
CAM16_20190417083523_143688870.avi,2019,4,17,08:35:23,00:32:44,09:08:07,00:00:00
CAM16_20190417090807_144423947.avi,2019,4,17,09:08:07,00:32:44,09:40:51,00:00:00
CAM16_20190417094051_145178446.avi,2019,4,17,09:40:51,00:32:43,10:13:34,00:00:00
CAM16_20190417101334_145907703.avi,2019,4,17,10:13:34,00:09:50,10:23:24,00:22:54
CAM16_20190417104618_146640003.avi,2019,4,17,10:46:18,00:32:43,11:19:01,00:00:01
CAM16_20190417111902_147187754.avi,2019,4,17,11:19:02,00:32:43,11:51:45,00:00:00
CAM16_20190417115145_147445577.avi,2019,4,17,11:51:45,00:27:22,12:19:07,00:05:22
CAM16_20190417122429_147706255.avi,2019,4,17,12:24:29,00:18:48,12:43:17,00:13:56
CAM16_20190417125713_147975575.avi,2019,4,17,12:57:13,00:03:07,13:00:20,00:29:36
CAM16_20190417132956_148244084.avi,2019,4,17,13:29:56,00:15:11,13:45:07,00:17:36
CAM16_20190417140243_148513466.avi,2019,4,17,14:02:43,00:07:09,14:09:52,00:25:34
CAM16_20190417143526_148785157.avi,2019,4,17,14:35:26,00:17:18,14:52:44,00:15:25
CAM16_20190417150809_149339928.avi,2019,4,17,15:08:09,00:32:44,15:40:53,00:00:00
CAM16_20190417154053_150084661.avi,2019,4,17,15:40:53,00:32:44,16:13:37,00:00:00
CAM16_20190417161337_150791518.avi,2019,4,17,16:13:37,00:23:21,16:36:58,00:09:23
CAM16_20190417164621_151527234.avi,2019,4,17,16:46:21,00:32:43,17:19:04,00:00:00
CAM16_20190417171904_152223966.avi,2019,4,17,17:19:04,00:32:47,17:51:51,00:00:00
CAM16_20190417175151_152945189.avi,2019,4,17,17:51:51,00:08:08,17:59:59,
