FECHA,Calle,Carrera,Movimiento,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
01092018,100,19,1-cicloruta,Sur,Norte,09:44:54,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,09:59:53,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,10:14:52,1.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,10:29:53,4.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,10:44:52,6.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,10:59:51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,11:14:52,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,11:29:51,2.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,11:44:50,2.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,
01092018,100,19,1-cicloruta,Sur,Norte,11:59:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
