FECHA;Calle;Carrera;Movimiento;Acceso;Salida;Periodo;Peaton;Particular;Taxi;Motociclista;Bus;Camion;Minivan;Ciclista;Tractomula
31082018;100;11;Ciclistas via;Sur;Norte;06:00:00;3.0;56.0;21.0;21.0;0.0;2.0;2.0;10.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;06:15:01;1.0;52.0;11.0;28.0;0.0;0.0;3.0;10.0;1.0;
31082018;100;11;Ciclistas via;Sur;Norte;06:30:00;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;06:44:59;17.0;35.0;0.0;1.0;0.0;1.0;0.0;5.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;07:00:00;7.0;106.0;1.0;46.0;0.0;2.0;0.0;3.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;07:14:59;6.0;103.0;4.0;46.0;3.0;2.0;0.0;8.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;07:29:58;12.0;102.0;17.0;59.0;2.0;1.0;0.0;13.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;07:44:57;3.0;117.0;23.0;70.0;1.0;0.0;0.0;28.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;07:59:59;8.0;122.0;16.0;60.0;4.0;2.0;5.0;19.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;08:14:58;2.0;126.0;36.0;51.0;2.0;1.0;5.0;28.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;08:29:57;4.0;132.0;38.0;39.0;1.0;0.0;5.0;18.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;08:44:56;4.0;107.0;30.0;32.0;2.0;1.0;1.0;14.0;0.0;
31082018;100;11;Ciclistas via;Sur;Norte;08:59:55;0.0;37.0;9.0;10.0;0.0;0.0;0.0;2.0;0.0;
