File_Name,Year,Month,Day,Start_Time,Duration,End_Time,
CAM08_20190417060000_140568975.avi,2019,4,17,06:00:00,00:02:12,06:02:12,23:59:59
CAM08_20190417060213_140624620.avi,2019,4,17,06:02:13,00:32:16,06:34:29,00:00:00
CAM08_20190417063429_141476651.avi,2019,4,17,06:34:29,00:32:16,07:06:45,23:59:59
CAM08_20190417070646_142212336.avi,2019,4,17,07:06:46,00:16:49,07:23:35,23:44:36
CAM08_20190417073859_142933264.avi,2019,4,17,07:38:59,00:17:23,07:56:22,23:45:09
CAM08_20190417081113_143652990.avi,2019,4,17,08:11:13,00:04:41,08:15:54,23:32:30
CAM08_20190417084324_144372170.avi,2019,4,17,08:43:24,00:32:14,09:15:38,00:00:00
CAM08_20190417091538_145115593.avi,2019,4,17,09:15:38,00:31:18,09:46:56,23:59:07
CAM08_20190417094749_145852401.avi,2019,4,17,09:47:49,00:32:11,10:20:00,00:00:00
CAM08_20190417102000_146604248.avi,2019,4,17,10:20:00,00:32:11,10:52:11,00:00:00
CAM08_20190417105211_149144443.avi,2019,4,17,10:52:11,00:32:11,11:24:22,00:00:00
CAM08_20190417112422_149878927.avi,2019,4,17,11:24:22,00:32:11,11:56:33,00:00:00
CAM08_20190417115633_150638949.avi,2019,4,17,11:56:33,00:32:11,12:28:44,00:00:00
CAM08_20190417122844_151370609.avi,2019,4,17,12:28:44,00:32:11,13:00:55,00:00:00
CAM08_20190417130055_152074127.avi,2019,4,17,13:00:55,00:32:11,13:33:06,00:00:00
CAM08_20190417133306_152773573.avi,2019,4,17,13:33:06,00:18:33,13:51:39,23:46:22
CAM08_20190417140517_153362820.avi,2019,4,17,14:05:17,00:32:11,14:37:28,00:00:00
CAM08_20190417143728_153941271.avi,2019,4,17,14:37:28,00:32:11,15:09:39,00:00:00
CAM08_20190417150939_154480754.avi,2019,4,17,15:09:39,00:32:11,15:41:50,00:00:00
CAM08_20190417154150_154776532.avi,2019,4,17,15:41:50,00:32:11,16:14:01,00:00:00
CAM08_20190417161401_155030689.avi,2019,4,17,16:14:01,00:32:11,16:46:12,23:59:59
CAM08_20190417164613_155284534.avi,2019,4,17,16:46:13,00:05:59,16:52:12,23:33:48
CAM08_20190417171824_155545071.avi,2019,4,17,17:18:24,00:25:00,17:43:24,23:52:49
CAM08_20190417175035_155796669.avi,2019,4,17,17:50:35,00:09:25,18:00:00,18:00:00
