20042019,80,119,salida y separador,,Occidente,06:00:00,21,67,10,75,47,56,9,1,1,
20042019,80,119,salida y separador,,Occidente,06:15:01,31,72,6,114,50,59,8,6,0,
20042019,80,119,salida y separador,,Occidente,06:30:00,18,80,11,99,38,57,8,4,1,
20042019,80,119,salida y separador,,Occidente,06:44:59,12,105,17,105,39,74,5,5,0,
20042019,80,119,salida y separador,,Occidente,07:00:00,22,92,15,110,46,41,5,7,2,
20042019,80,119,salida y separador,,Occidente,07:14:59,11,93,23,114,36,43,11,4,0,
20042019,80,119,salida y separador,,Occidente,07:29:57,20,113,21,117,30,60,12,4,0,
20042019,80,119,salida y separador,,Occidente,07:44:57,23,106,9,92,37,42,7,13,1,
20042019,80,119,salida y separador,,Occidente,07:59:58,9,130,12,92,36,46,8,7,0,
20042019,80,119,salida y separador,,Occidente,08:14:57,6,112,15,99,28,44,7,9,1,
20042019,80,119,salida y separador,,Occidente,08:29:56,11,146,10,78,36,51,9,5,2,
20042019,80,119,salida y separador,,Occidente,08:44:55,14,123,11,96,28,37,5,7,1,
20042019,80,119,salida y separador,,Occidente,08:59:54,12,157,16,91,35,50,11,8,1,
20042019,80,119,salida y separador,,Occidente,09:14:55,27,142,16,74,31,43,9,6,1,
20042019,80,119,salida y separador,,Occidente,09:29:54,22,165,13,94,30,48,5,4,2,
20042019,80,119,salida y separador,,Occidente,09:44:53,20,199,11,76,29,42,5,8,0,
20042019,80,119,salida y separador,,Occidente,09:59:52,16,191,14,80,31,41,8,10,1,
20042019,80,119,salida y separador,,Occidente,10:14:51,18,207,16,80,33,39,11,8,4,
20042019,80,119,salida y separador,,Occidente,10:29:50,14,205,16,93,26,45,8,10,1,
20042019,80,119,salida y separador,,Occidente,10:44:51,26,254,17,80,41,48,9,12,4,
20042019,80,119,salida y separador,,Occidente,10:59:50,14,266,18,100,31,47,11,12,0,
20042019,80,119,salida y separador,,Occidente,11:14:49,24,280,14,97,29,37,10,18,1,
20042019,80,119,salida y separador,,Occidente,11:29:48,19,344,8,122,35,46,8,16,0,
20042019,80,119,salida y separador,,Occidente,11:44:47,31,337,12,108,31,49,10,15,4,
20042019,80,119,salida y separador,,Occidente,11:59:49,15,269,13,95,30,47,15,11,5,
20042019,80,119,salida y separador,,Occidente,12:14:48,20,304,34,108,32,35,8,16,2,
20042019,80,119,salida y separador,,Occidente,12:29:47,26,362,18,112,42,48,6,19,2,
20042019,80,119,salida y separador,,Occidente,12:44:46,24,352,12,134,37,48,14,18,0,
20042019,80,119,salida y separador,,Occidente,12:59:47,28,354,14,106,34,41,6,19,2,
20042019,80,119,salida y separador,,Occidente,13:14:46,15,330,18,96,36,47,14,9,3,
20042019,80,119,salida y separador,,Occidente,13:29:45,31,356,20,122,35,62,10,11,0,
20042019,80,119,salida y separador,,Occidente,13:44:44,23,319,21,106,32,46,6,3,3,
20042019,80,119,salida y separador,,Occidente,13:59:45,14,339,19,118,43,44,5,3,1,
20042019,80,119,salida y separador,,Occidente,14:14:44,16,431,15,117,35,41,22,5,1,
20042019,80,119,salida y separador,,Occidente,14:29:43,14,389,19,111,43,24,8,3,2,
20042019,80,119,salida y separador,,Occidente,14:44:42,15,414,21,96,34,26,12,2,0,
20042019,80,119,salida y separador,,Occidente,14:59:43,17,448,19,93,43,31,16,5,1,
20042019,80,119,salida y separador,,Occidente,15:14:42,16,487,27,98,36,34,9,6,2,
20042019,80,119,salida y separador,,Occidente,15:29:41,18,476,13,93,36,36,15,6,0,
20042019,80,119,salida y separador,,Occidente,15:44:40,10,513,26,116,33,24,11,3,0,
20042019,80,119,salida y separador,,Occidente,15:59:41,8,478,20,99,41,23,11,7,0,
20042019,80,119,salida y separador,,Occidente,16:14:41,17,529,15,76,39,31,8,3,0,
20042019,80,119,salida y separador,,Occidente,16:29:40,24,677,26,143,40,45,11,5,1,
20042019,80,119,salida y separador,,Occidente,16:44:39,15,534,24,99,33,27,11,6,2,
20042019,80,119,salida y separador,,Occidente,16:59:38,12,568,22,114,39,22,14,5,3,
20042019,80,119,salida y separador,,Occidente,17:14:39,9,479,18,97,34,26,8,4,0,
20042019,80,119,salida y separador,,Occidente,17:29:38,15,593,27,110,41,44,10,3,3,
20042019,80,119,salida y separador,,Occidente,17:44:37,8,669,19,126,36,34,10,2,0,
