FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
16082019,85,11,cicloruta,Sur,Norte,06:00:00,1,0,0,0,0,0,0,21,0,0,0,
16082019,85,11,cicloruta,Sur,Norte,06:15:01,0,0,0,0,0,0,0,28,0,0,0,
16082019,85,11,cicloruta,Sur,Norte,06:29:59,0,0,0,0,0,0,0,34,0,3,0,
16082019,85,11,cicloruta,Sur,Norte,06:45:00,1,0,0,0,0,1,0,44,0,6,0,
16082019,85,11,cicloruta,Sur,Norte,06:59:59,0,1,0,1,0,1,0,37,0,1,0,
16082019,85,11,cicloruta,Sur,Norte,07:14:58,1,2,0,0,0,0,0,37,0,8,0,
16082019,85,11,cicloruta,Sur,Norte,07:29:57,1,0,0,1,0,4,0,60,0,13,0,
16082019,85,11,cicloruta,Sur,Norte,07:44:59,1,0,0,0,0,2,0,66,0,11,0,
16082019,85,11,cicloruta,Sur,Norte,07:59:58,0,1,0,0,0,0,0,77,0,18,0,
16082019,85,11,cicloruta,Sur,Norte,08:14:57,1,2,0,0,0,0,0,54,0,9,0,
16082019,85,11,cicloruta,Sur,Norte,08:29:56,0,0,0,0,0,0,0,56,0,15,0,
16082019,85,11,cicloruta,Sur,Norte,08:44:55,0,1,0,0,0,0,0,53,0,16,0,
16082019,85,11,cicloruta,Sur,Norte,08:59:56,0,0,0,0,0,1,0,51,0,11,0,
16082019,85,11,cicloruta,Sur,Norte,09:14:55,0,4,0,0,0,0,0,37,0,12,0,
16082019,85,11,cicloruta,Sur,Norte,09:29:54,1,1,0,0,0,0,0,39,0,11,0,
16082019,85,11,cicloruta,Sur,Norte,09:44:53,0,0,0,1,0,0,0,27,0,9,0,
16082019,85,11,cicloruta,Sur,Norte,09:59:52,0,0,0,1,0,0,0,32,0,6,0,
16082019,85,11,cicloruta,Sur,Norte,10:14:53,0,0,0,0,0,1,0,43,0,10,0,
16082019,85,11,cicloruta,Sur,Norte,10:29:53,0,0,0,0,0,0,0,37,0,15,0,
16082019,85,11,cicloruta,Sur,Norte,10:44:52,0,0,0,0,0,0,0,31,0,12,0,
16082019,85,11,cicloruta,Sur,Norte,10:59:52,0,0,0,0,0,0,0,40,0,4,0,
16082019,85,11,cicloruta,Sur,Norte,11:14:51,1,0,0,0,0,0,0,26,0,10,0,
16082019,85,11,cicloruta,Sur,Norte,11:29:50,1,0,0,0,0,0,0,41,0,4,0,
16082019,85,11,cicloruta,Sur,Norte,11:44:51,0,0,0,0,0,0,0,30,0,3,0,
16082019,85,11,cicloruta,Sur,Norte,11:59:50,1,0,0,0,0,0,0,44,0,6,0,
16082019,85,11,cicloruta,Sur,Norte,12:14:49,2,0,0,1,0,0,0,44,0,11,0,
16082019,85,11,cicloruta,Sur,Norte,12:29:50,0,0,0,0,0,0,0,50,0,13,0,
16082019,85,11,cicloruta,Sur,Norte,12:44:49,3,0,0,0,0,0,0,53,0,27,0,
16082019,85,11,cicloruta,Sur,Norte,12:59:48,2,0,0,2,0,0,0,51,0,10,0,
16082019,85,11,cicloruta,Sur,Norte,13:14:47,0,0,0,0,0,1,0,59,0,14,0,
16082019,85,11,cicloruta,Sur,Norte,13:29:48,0,0,0,0,0,0,0,55,0,16,0,
16082019,85,11,cicloruta,Sur,Norte,13:44:47,1,1,0,0,0,0,0,53,0,16,0,
16082019,85,11,cicloruta,Sur,Norte,13:59:46,2,0,0,0,0,0,0,63,0,21,0,
16082019,85,11,cicloruta,Sur,Norte,14:14:45,0,0,0,0,0,0,0,45,0,11,0,
16082019,85,11,cicloruta,Sur,Norte,14:29:46,1,0,0,0,0,0,0,52,0,30,0,
16082019,85,11,cicloruta,Sur,Norte,14:44:45,3,0,0,0,0,0,0,45,0,21,0,
16082019,85,11,cicloruta,Sur,Norte,14:59:44,1,0,0,1,0,0,0,46,0,11,0,
16082019,85,11,cicloruta,Sur,Norte,15:14:43,6,0,0,0,0,0,0,33,0,8,0,
16082019,85,11,cicloruta,Sur,Norte,15:29:42,5,0,0,0,0,0,0,34,0,3,0,
16082019,85,11,cicloruta,Sur,Norte,15:44:43,5,0,0,0,0,0,0,37,0,5,0,
16082019,85,11,cicloruta,Sur,Norte,15:59:42,4,0,0,1,0,0,0,32,0,8,0,
16082019,85,11,cicloruta,Sur,Norte,16:14:41,5,0,0,2,0,0,0,32,0,3,0,
16082019,85,11,cicloruta,Sur,Norte,16:29:40,3,0,0,0,0,0,0,46,0,2,0,
